"area_code","area_name","date","new_cases","total_cases"
"E09000023","Lewisham",2020-03-19,16,73
"E09000024","Merton",2020-03-19,11,74
"E09000025","Newham",2020-03-19,6,53
"E09000026","Redbridge",2020-03-19,12,51
"E09000027","Richmond upon Thames",2020-03-19,4,27
"E09000028","Southwark",2020-03-19,15,145
"E09000029","Sutton",2020-03-19,3,29
"E09000030","Tower Hamlets",2020-03-19,10,54
"E09000031","Waltham Forest",2020-03-19,9,42
"E09000032","Wandsworth",2020-03-19,17,130
"E09000033","Westminster",2020-03-19,9,117
"E09000001","City of London",2020-03-20,5,5
"E09000002","Barking and Dagenham",2020-03-20,9,42
"E09000003","Barnet",2020-03-20,21,132
"E09000004","Bexley",2020-03-20,9,51
"E09000005","Brent",2020-03-20,21,145
"E09000006","Bromley",2020-03-20,18,85
"E09000007","Camden",2020-03-20,6,61
"E09000008","Croydon",2020-03-20,25,123
"E09000009","Ealing",2020-03-20,16,114
"E09000010","Enfield",2020-03-20,20,86
"E09000011","Greenwich",2020-03-20,14,78
"E09000012","Hackney",2020-03-20,9,65
"E09000013","Hammersmith and Fulham",2020-03-20,8,60
"E09000014","Haringey",2020-03-20,11,72
"E09000015","Harrow",2020-03-20,14,113
"E09000016","Havering",2020-03-20,4,41
"E09000017","Hillingdon",2020-03-20,11,77
"E09000018","Hounslow",2020-03-20,7,74
"E09000019","Islington",2020-03-20,3,65
"E09000020","Kensington and Chelsea",2020-03-20,5,87
"E09000021","Kingston upon Thames",2020-03-20,6,35
"E09000022","Lambeth",2020-03-20,30,173
"E09000023","Lewisham",2020-03-20,22,95
"E09000024","Merton",2020-03-20,9,83
"E09000025","Newham",2020-03-20,14,67
"E09000026","Redbridge",2020-03-20,5,56
"E09000027","Richmond upon Thames",2020-03-20,9,36
"E09000028","Southwark",2020-03-20,23,168
"E09000029","Sutton",2020-03-20,10,39
"E09000030","Tower Hamlets",2020-03-20,11,65
"E09000031","Waltham Forest",2020-03-20,13,55
"E09000032","Wandsworth",2020-03-20,23,153
"E09000033","Westminster",2020-03-20,15,132
